Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
5,10,New York Knicks*,29.4,55,27,50,32,3.11,-0.33,2.78,107.2,103.8,+3.4,91.2,.331,.226,.550,NA,.508,15.1,28.6,.243,NA,.468,14.4,70.8,.281,NA,Madison Square Garden (IV),"810,283","19,763"
5,11,Houston Rockets*,28.5,47,35,47,35,2.12,0.20,2.32,109.7,107.4,+2.3,94.2,.310,.267,.568,NA,.529,15.0,26.9,.232,NA,.489,13.9,67.7,.199,NA,The Summit,"653,389","15,936"
5,12,Atlanta Hawks*,28.2,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,+1.4,89.8,.292,.237,.525,NA,.487,13.9,31.6,.211,NA,.495,15.6,68.4,.215,NA,Omni Coliseum,"504,807","12,312"
5,13,Denver Nuggets*,26.6,41,41,43,39,0.84,0.11,0.96,109.1,108.2,+0.9,91.5,.357,.180,.556,NA,.511,15.6,32.0,.263,NA,.487,13.2,70.2,.257,NA,McNichols Sports Arena,"704,011","17,171"
5,14,Cleveland Cavaliers*,28.3,43,39,43,39,0.62,-0.07,0.55,105.3,104.6,+0.7,84.8,.317,.165,.520,NA,.472,14.2,31.8,.241,NA,.493,15.0,72.4,.224,NA,Gund Arena,"833,850","20,338"
5,15,Los Angeles Lakers*,25.9,48,34,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,.292,.210,.539,NA,.500,13.4,31.3,.215,NA,.500,14.8,64.4,.224,NA,Great Western Forum,"591,125","14,418"
5,16,Sacramento Kings,26.4,39,43,38,44,-1.00,0.26,-0.74,105.5,106.5,-1.0,92.3,.359,.160,.538,NA,.496,16.2,32.1,.255,NA,.481,15.0,67.0,.280,NA,ARCO Arena (II),"709,997","17,317"
5,17,Miami Heat,27.1,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,.317,.175,.540,NA,.499,14.4,31.7,.233,NA,.510,14.9,68.7,.264,NA,Miami Arena,"598,761","14,604"
5,18,Boston Celtics*,27.2,35,47,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,.331,.144,.537,NA,.491,14.3,33.1,.249,NA,.512,13.6,68.6,.235,NA,Boston Garden,"606,070","14,869"
5,19,Dallas Mavericks,24.3,36,46,33,49,-2.90,0.51,-2.39,107.6,110.6,-3.0,94.7,.301,.163,.509,NA,.466,13.9,38.9,.221,NA,.519,13.7,69.8,.208,NA,Reunion Arena,"678,433","16,547"
